Timestamp,1. How comfortable are you with your surroundings in school ?,2. How would you rate the quality of your relationships with your classmates?,3. Do you have any close friends at school?,"4. If 'YES', how did they affect in your academics?",5. What is the part of your student life that you are unsatisfied with the most?,6. Do you sometimes feel isolated in your college  environment?,7. How often do external problems affect your academics ?,8. Does your personal relationship (Love Life) affect your academic level  ?,9. Do you feel comfortable seeking help or advice from friends when facing academic challenges?,"10. Are you engaged in any external activities  (Associations, Clubs, organizations...) outside of academics? ","11. If 'YES',How often are you engaged in these social activities ? ",1. Does your academic study affect your mental well-being?,2. If 'YES' rate it: ,3. Do you feel motivated to wake up and go to college?,4. How stresseful  school is for you?,5. How would you rate the university environment ?,6. Do you experience any sleep disorders during exams and assesment due to the university environment ?,7. Is it tough for you to fulfill your ambitions ?,"8. If you could choose any of these words to describe your mental health, which would suit you? ",9. Do academic results affect your mental health ?,"1. Are you engaged in any physical activities ? (gym, sport activity ...)","2. If ""NO"", tell us why ",3. Do you often have time to have lunch during the break,4. Does it cause you any eat disorders,5. How many hours of sleep do you get on an average night at university ?,6. How would you describe your daily routine?,7. How do you rate your overall health ?,1. How do you rate your emotional resilience ?,2. Have you ever felt like you lack a sense of purpose in your studies ?,3. How confident do you feel in your ability to overcome challenges in your academic life?,4. Have you ever received training or support in developing emotional resilience skills?,"5. If 'YES', did it help ?",6. How often do you engage in activities that help you relax and unwind?,Are you?,15.Age ,Status ,Level of education,Field of study,Location,Governorates,Your university ,How well do you describe yourself academically ?,Share your opinon about the surveys 
10/25/2023 0:33:09,4,7,No,NULL,"Social life, Exams",Often,Rarely,Agree,Comfortable,"Yes, Too Much",Daily,Yes,10,Sometimes,6,Good,not much,No,overwhelmed,Yes,Yes,NULL,No,Yes,Less than 5 hours,Intresting,3,1,No,Neutral,No,NULL,Daily,Male,18-21,Single,Pre-Engineering,"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,7,
10/25/2023 11:18:53,4,5,No,NULL,"Social life, Administration",Sometimes,Sometimes,Agree,Neutral,No,NULL,Yes,6,Rarely,8,Stressful,occasionally,Yes,trying my best,Yes,No,Schedule,No,Yes,5-6 hours,Boring,6,5,Yes,Confident,No,NULL,Monthly,Female,22-24,Taken,Master's,"Natural Sciences (Medical,Biology, Chemistry, Physics, Earth Sciences....)",Tunisia,Tunis,Public,7,
10/25/2023 14:34:56,5,6,Yes,Positive/Good,"Social life, Schedule",Sometimes,Often,Disagree,Comfortable,No,NULL,Yes,9,Often,3,Good,sometimes,No,trying my best,Yes,No,other reasons,Yes,No,6-7 hours,Challenging,7,6,Yes,Confident,No,NULL,Rarely,Female,24-28,Single,Master's,"Social Sciences ( Business, law, languages, philosophy, religion, mythology, psychology, ....)",Tunisia,Gabès,Public,8,Interesting in terms of data collection on this significant topic.
10/25/2023 15:01:55,9,8,Yes,Positive/Good,Social life,Sometimes,Sometimes,Disagree,Comfortable,No,NULL,Yes,7,Often,6,Motivating,always,No,trying my best,Yes,No,other reasons,Yes,No,6-7 hours,Challenging,7,4,Yes,Neutral,Yes,Quiet helpful,Weekly,Male,18-21,Single,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology, psychology, ....)",France,,Public,6,
10/25/2023 15:03:49,5,3,No,NULL,"Social life, Schedule, Exams",Sometimes,Rarely,Disagree,Neutral,No,NULL,Yes,9,Never,9,Stressful,occasionally,Yes,bored,Yes,No,Schedule,No,Yes,6-7 hours,Boring,7,8,Yes,Neutral,No,NULL,Weekly,Male,18-21,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,8,
10/25/2023 15:33:15,10,7,No,NULL,Administration,Rarely,Never,Disagree,Comfortable,"Yes, Too Much",Rarely,No,7,Sometimes,4,Stressful,occasionally,Yes,happy,No,Yes,I have other engagements,Yes,No,7-9 hours,Boring,10,1,No,Confident,No,NULL,Never,Male,18-21,Taken,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",France,NULL,Public,6,
10/25/2023 16:15:10,2,5,No,Positive/Good,"Social life, Existence ",Often,Rarely,Disagree,Comfortable,No,Rarely,No,NULL,Always,2,Stressful,not much,No,excited,Yes,Yes,NULL,No,Yes,5-6 hours,Boring,6,8,No,Confident,No,NULL,Daily,Male,22-24,Single,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",France,,Public,7,
10/25/2023 16:22:51,8,9,Yes,Positive/Good,Exams,Rarely,Never,Disagree,Uncomfortable,No,NULL,Yes,7,Often,7,Good,sometimes,No,excited,Yes,Yes,NULL,Yes,Yes,6-7 hours,Challenging,9,7,Yes,Neutral,No,NULL,Daily,Male,18-21,Taken,Undergraduate (Bachelor),"Social Sciences ( Business, law, languages, philosophy, religion, mythology, psychology, ....)",France,,Public,8,Good
10/25/2023 21:46:08,10,10,Yes,Normal,"Teacher, Schedule, Administration",Never,Rarely,Disagree,Comfortable,No,NULL,Yes,8,Rarely,5,Good,sometimes,Yes,trying my best,Yes,No,Schedule,Yes,No,6-7 hours,Intresting,6,6,No,Confident,No,NULL,Daily,Female,18-21,Taken,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,7,
10/26/2023 18:43:06,4,4,Yes,Normal,"Schedule, Exams, Administration",Often,Often,Disagree,Neutral,"Yes, Too Much",Daily,Yes,8,Rarely,7,Toxic,occasionally,Yes,overwhelmed,Yes,No,Schedule,No,Yes,Less than 5 hours,Boring,4,3,Yes,Neutral,No,NULL,Never,Female,18-21,Taken,Undergraduate (Bachelor),"Formal Sciences ( logic, mathematics, statistics, theoretical computer science, artificial intelligence, information theory, game theory.....)",Tunisia,Ben Arous,Public,7,it's an interesting survey and I hope my answers will help you in making your research 
10/27/2023 10:43:02,5,6,No,NULL,"Social life, Schedule",Sometimes,Rarely,Agree,Neutral,"Yes, occasionally",Rarely,No,NULL,Rarely,5,Stressful,sometimes,No,trying my best,Yes,No,Schedule,No,Yes,6-7 hours,Challenging,6,5,Yes,Neutral,No,NULL,Rarely,Female,18-21,Single,Pre-Engineering,LI,Tunisia,Sousse,Public,6,
